SEASON,PLAYER_NAME,TEAM_ABBREVIATION,PLAYER_ID,TEAM_ID,GP,MIN,PTS,REB,AST,STL,BLK,OFF_RATING,DEF_RATING,TS_PCT,USG_PCT,PIE,WS,PER,ALL_NBA,ALL_NBA_TM
1996-97,Dexter Boney,PHX,1121,1610612756,8,44.6,2.38,0.75,0.0,0.25,0.12,96.6,115.6,0.422,0.231,0.039,-0.4,15.64,0,0
1996-97,Dickey Simpkins,CHI,54,1610612741,48,393.03,1.9,1.92,0.65,0.1,0.1,102.3,102.5,0.411,0.159,0.039,-0.13,9.74,0,0
1996-97,Dikembe Mutombo,ATL,87,1610612737,80,2976.12,13.32,11.61,1.38,0.61,3.3,105.0,96.9,0.584,0.178,0.146,16.52,18.13,0,0
1996-97,Dino Radja,BOS,129,1610612738,25,873.6,13.96,8.44,1.92,0.92,1.92,99.9,103.3,0.471,0.224,0.099,-2.12,15.84,0,0
1996-97,Dominique Wilkins,SAS,1122,1610612759,63,1946.55,18.17,6.38,1.89,0.62,0.49,102.9,114.3,0.517,0.291,0.119,-11.04,22.75,0,0
1996-97,Don MacLean,PHI,931,1610612755,37,730.86,10.86,3.78,1.0,0.32,0.27,104.2,109.9,0.493,0.26,0.09,-4.02,18.94,0,0
1996-97,Don Reid,DET,690,1610612765,47,461.91,2.81,2.15,0.3,0.34,0.32,96.0,101.2,0.523,0.145,0.043,0.91,12.44,0,0
1996-97,Donald Royal,CHH,140,1610612766,62,861.38,3.52,2.48,0.4,0.37,0.18,100.5,106.6,0.552,0.127,0.054,-1.67,10.71,0,0
1996-97,Donald Whiteside,TOR,1126,1610612761,27,260.6,2.19,0.44,1.33,0.41,0.0,94.0,105.3,0.479,0.129,0.05,-0.86,10.61,0,0
1996-97,Donnie Boyce,ATL,671,1610612737,22,153.76,2.5,0.68,0.59,0.45,0.18,91.0,99.4,0.378,0.239,0.013,-0.35,12.89,0,0
1996-97,Donny Marshall,CLE,681,1610612739,56,549.63,3.12,1.25,0.43,0.43,0.05,92.7,104.1,0.476,0.182,0.048,-1.38,13.57,0,0
1996-97,Dontonio Wingfield,POR,112,1610612757,47,565.64,4.49,2.91,0.96,0.3,0.13,101.1,99.8,0.501,0.197,0.067,1.82,14.11,0,0
1996-97,Donyell Marshall,GSW,923,1610612744,61,1022.77,7.28,4.52,0.87,0.41,0.75,101.2,109.7,0.478,0.217,0.097,-3.99,18.14,0,0
1996-97,Doug Christie,TOR,57,1610612761,81,3125.17,14.52,5.33,3.89,2.48,0.56,103.7,105.7,0.543,0.183,0.104,-6.19,17.73,0,0
1996-97,Doug Overton,PHI,77,1610612755,61,637.65,3.56,1.11,1.66,0.39,0.0,100.4,101.8,0.514,0.163,0.102,0.24,15.57,0,0
1996-97,Doug West,MIN,28,1610612750,68,1924.82,7.81,2.18,1.66,0.9,0.35,101.8,105.6,0.505,0.141,0.044,-6.6,10.89,0,0
1996-97,Duane Causwell,SAC,190,1610612758,46,593.51,2.57,2.76,0.43,0.33,0.83,95.5,106.9,0.535,0.11,0.027,-0.93,7.75,0,0
1996-97,Duane Ferrell,IND,273,1610612754,62,1114.3,6.35,2.27,1.06,0.61,0.1,103.3,100.3,0.521,0.177,0.067,1.22,13.82,0,0
1996-97,Dwayne Schintzius,LAC,368,1610612746,15,115.08,2.27,1.47,0.27,0.07,0.6,114.1,97.4,0.43,0.17,0.022,0.25,10.1,0,0
1996-97,Earl Cureton,TOR,940,1610612761,9,45.11,0.78,1.0,0.44,0.0,0.0,93.9,102.1,0.376,0.092,0.0,0.06,7.41,0,0
1996-97,Ed O'Bannon,DAL,709,1610612742,64,806.55,3.67,2.31,0.61,0.45,0.19,97.5,103.7,0.399,0.16,0.049,-1.6,13.69,0,0
1996-97,Ed Pinckney,MIA,291,1610612748,27,269.77,2.44,2.41,0.22,0.3,0.33,97.3,105.6,0.611,0.123,0.079,-0.05,11.27,0,0
1996-97,Eddie Johnson,HOU,698,1610612745,52,911.64,8.15,2.65,1.0,0.29,0.04,103.4,100.3,0.541,0.212,0.092,0.42,17.72,0,0
1996-97,Eddie Jones,LAL,224,1610612747,80,2999.98,17.18,4.08,3.38,2.36,0.61,106.2,101.9,0.559,0.206,0.113,2.37,19.43,0,0
1996-97,Elden Campbell,LAL,922,1610612747,77,2513.58,14.91,7.99,1.64,0.6,1.52,105.7,102.2,0.52,0.221,0.109,3.53,18.37,0,0
1996-97,Eldridge Recasner,ATL,695,1610612737,71,1201.66,5.7,1.62,1.32,0.54,0.06,99.6,101.0,0.539,0.165,0.078,0.46,14.43,0,0
1996-97,Elliot Perry,MIL,386,1610612749,82,1597.01,6.85,1.51,3.01,1.21,0.04,102.3,103.5,0.557,0.172,0.113,-0.9,17.01,0,0
1996-97,Elmer Bennett,DEN,1120,1610612743,9,75.24,2.44,0.44,1.22,0.44,0.0,98.8,108.6,0.47,0.18,0.031,-0.53,10.62,0,0
1996-97,Elmore Spencer,SEA,771,1610612760,1,5.48,0.0,0.0,0.0,1.0,0.0,33.3,158.3,0.0,0.125,-0.071,-0.25,0.0,0,0
1996-97,Emanual Davis,HOU,1023,1610612745,13,230.0,5.0,1.69,2.0,0.69,0.15,103.2,95.1,0.565,0.143,0.084,0.7,12.64,0,0
1996-97,Ennis Whatley,POR,941,1610612757,3,20.85,1.33,1.0,1.0,0.0,0.0,56.8,111.4,0.5,0.109,0.036,-0.14,9.73,0,0
1996-97,Eric Leckner,VAN,287,1610612763,20,130.44,1.7,1.8,0.25,0.15,0.1,97.5,97.6,0.444,0.172,0.019,0.01,10.31,0,0
1996-97,Eric Mobley,VAN,211,1610612763,28,304.94,2.57,2.07,0.5,0.18,0.36,91.8,107.1,0.472,0.154,0.018,-0.89,7.13,0,0
1996-97,Eric Montross,NJN,376,1610612751,78,1825.42,4.37,6.64,0.78,0.26,0.94,99.7,105.6,0.452,0.11,0.052,-2.74,9.9,0,0
1996-97,Eric Murdock,DEN,785,1610612743,12,115.36,3.75,0.92,2.0,0.75,0.17,92.7,94.4,0.588,0.176,0.184,0.62,19.29,0,0
1996-97,Eric Piatkowski,LAC,15,1610612746,65,748.35,5.97,1.62,0.8,0.51,0.15,105.9,102.4,0.579,0.211,0.109,1.31,19.69,0,0
1996-97,Eric Snow,SEA,727,1610612760,67,765.13,2.97,1.04,2.36,0.55,0.04,99.5,101.3,0.515,0.14,0.09,1.16,14.13,0,0
1996-97,Eric Williams,BOS,677,1610612738,72,2433.4,14.97,4.56,1.79,1.0,0.18,102.8,109.4,0.533,0.205,0.075,-9.8,15.56,0,0
